id,name,zipcode,categories,pickup,delivery,price_range,rating
QQfwlKFD6X8-ZXf7gfQZqg,Hardee,11205,chinese,0,0,$,4.5
tRys0z0O4EE8sivXLFZ3kQ,David's Bagels,10003,"bagels, delis, sandwiches",1,1,$,4
VF3Ep2NQN8FqSCV8ySulSA,19 Cafe,11260,"coffee & tea, breakfast & brunch, sandwiches",1,1,$,4.5
a5FVkeyRpiAttprSRmzgkQ,Court Pastry Shop,11231,bakeries,0,0,$,4.5
tG-QM-6Cm2RoLucyj8Kg8g,Restaurant Relax,11222,"diners, polish",1,1,$,4.5
-68EJ6yIbtfPUdWXwUnlEw,Bread & Joe,11215,"coffee & tea, bakeries, bubble tea",1,1,$,4.5
GYYufTEFAK1z3CMxov0a4A,Bar Suzette,10011,creperies,0,1,$,4
rGmGim1ZDCxnF8n4NiKrYQ,Vegetarian Dim Sum House,10013,"dim sum, vegetarian, vegan",1,1,$,3.5
X2cZaJqblzi4M0irKodWcg,Butcher Block,11104,"meat shops, irish, international grocery",0,0,$,4
0WDHtP31HeVY0LP8INiFzQ,Rice Noodle Cart,10013,"cantonese, street vendors",0,1,$,4.5
jsjJxd8NzEnl19VM94bbGw,Blue Spoon Coffee,10007,"coffee & tea, sandwiches",0,1,$,4
BHpAlynD9dIGIaQDRqHCTA,Sunny's Bar,11231,bars,0,0,$,4.5
2xxX3t7ykIlyoaOXZdRZNw,Bagel World,11215,"bagels, salad, breakfast & brunch",1,1,$,4.5
NBXYrCQeoz305A3DUAl2GQ,Madame Bonté ,10128,cafes,1,1,$,4.5
z3vcYpnDgnBzZNqhQMOHUA,Fatoosh Pitza & Grill,11201,"pizza, middle eastern, sandwiches",1,1,$,4
pUMaj8PvI1--cSB7gMEhXA,Wafels & Dinges,10023,"food stands, waffles, belgian",1,1,$,4.5
uvQM9dckyv8RZB3hQYrKKw,The Grotto Pizzeria & Ristorante,10004,"pizza, italian",1,1,$,4
fxN2HYA1uyrdkXR9XX-Uwg,I CE NY,10012,"desserts, shaved ice, ice cream & frozen yogurt",0,0,$,4
TE87BLxClCcIg62i0xVgMg,Moot Bar,11205,pubs,0,1,$,4.5
UwgqrMaDL2M1Cd8zy6LHSQ,Antonio's Pizzeria & Restaurant,11238,pizza,1,1,$,4
m6FV9h1mMJ9_LZetNOjNjg,Bagelworks,10065,bagels,1,1,$,4
wpXbDM43Jb7NvPZeW9v9Sg,Alligator Lounge,11211,"lounges, dive bars, karaoke",0,0,$,4
MpF9j5-fBH0H6L9AzzyArA,Little Italy Pizza,10038,pizza,1,1,$,3.5
7pqZ3lpAtinvJ6QKOzSXxg,Yorkville Bagel & Cafe,10128,"bagels, cafes, juice bars & smoothies",0,1,$,4
MBkyCEjBbe-Ql63agwOUpw,Duff's Brooklyn,11211,dive bars,0,1,$,4.5
s-AE4r6lzS1cZApxVZCFSg,Cloud 9 Crepes,11216,"creperies, bubble tea, cafes",1,1,$,4.5
